Country,Indicator,Value
India,MFN Simple Average,17
India,MFN Trade Weighted Average,12
India,MFN Duty Free Percent,1.9
Brazil,MFN Simple Average,11.2
Brazil,MFN Trade Weighted Average,6.7
Brazil,MFN Duty Free Percent,18
China,MFN Simple Average,7.5
China,MFN Trade Weighted Average,3
China,MFN Duty Free Percent,9.7
Viet Nam,MFN Simple Average,9.4
Viet Nam,MFN Trade Weighted Average,5.1
Viet Nam,MFN Duty Free Percent,36.4
US,MFN Simple Average,3.3
US,MFN Trade Weighted Average,2.2
US,MFN Duty Free Percent,47.5
