year,countryname,ny_gdp_pcap_pp_kd,eci,log_gdp_pc,continent,display_name
2022,"Bangladesh",7888.1641,-.6551144,8.973119,"Asia","Bangladesh"
2022,"Brazil",18554.047,-.0436748,9.828444,"Latin America","Brazil"
2022,"China",21011.617,1.395094,9.95283,"Asia","China"
2022,"Congo, Dem Rep",1385.4647,-1.808926,7.233791,"Africa","DR Congo"
2022,"Egypt, Arab Rep",16360.391,-.1999861,9.702619,"Africa","Egypt"
2022,"Ethiopia",2655.5779,-.7999168,7.884418,"Africa","Ethiopia"
2022,"Germany",63353.941,1.926698,11.05649,"Europe","Germany"
2022,"India",8544.6885,.4906644,9.053065,"Asia","India"
2022,"Indonesia",13334.294,-.1817517,9.498095,"Asia","Indonesia"
2022,"Iran, Islamic Rep",15331.333,-.1577357,9.637654,"Asia","Iran"
2022,"Japan",45174.73,2.285153,10.71829,"Asia","Japan"
2022,"Mexico",21643.973,1.259126,9.982482,"Latin America","Mexico"
2022,"Nigeria",5552.8379,-1.711064,8.622065,"Africa","Nigeria"
2022,"Pakistan",5526.2793,-.520382,8.61727,"Asia","Pakistan"
2022,"Philippines",9457.1035,.7955903,9.154521,"Asia","Philippines"
2022,"Russian Federation",38263.617,-.360298,10.55225,"Europe","Russia"
2022,"Tanzania",3546.981,-1.00326,8.173852,"Africa","Tanzania"
2022,"Thailand",20741.523,1.079395,9.939893,"Asia","Thailand"
2022,"Turkey",33061.047,.6080265,10.40611,"Europe","Turkey"
2022,"United States",72841.922,1.4803,11.19605,"North America","US"
2022,"Vietnam",12930.256,.1889092,9.467325,"Asia","Vietnam"
